century,total_companies
1000s,3
1024s,1
1050s,1
1068s,1
1074s,1
1075s,1
1100s,1
1120s,1
1131s,1
1134s,1
1135s,2
1136s,1
1141s,2
1153s,1
1160s,1
1177s,1
1184s,3
1189s,1
1190s,2
1191s,2
1192s,1
1203s,1
1218s,1
1220s,1
1230s,1
1239s,1
1242s,1
1245s,1
1246s,1
1248s,1
1249s,1
1250s,2
1266s,2
1268s,1
1270s,2
1273s,1
1283s,2
1288s,1
1295s,1
1300s,2
1304s,1
1308s,2
1311s,1
1312s,1
1313s,2
1314s,1
1318s,1
1319s,1
1321s,1
1323s,1
1325s,1
1326s,1
1327s,1
1328s,2
1329s,1
1330s,1
1331s,1
1333s,1
1334s,1
1335s,1
1337s,1
1340s,2
1345s,1
1346s,3
1348s,2
1349s,2
1350s,1
1352s,1
1354s,1
1356s,1
1357s,1
1363s,1
1364s,2
1366s,1
1367s,1
1368s,2
1369s,1
1371s,1
1375s,1
1378s,1
1380s,3
1383s,1
1385s,1
1386s,1
1387s,1
1389s,1
1390s,2
1392s,1
1394s,1
1395s,1
1396s,1
1397s,2
1398s,1
1399s,1
1404s,1
1405s,2
1410s,1
1411s,1
1412s,1
1413s,1
1416s,1
1418s,3
1419s,1
1421s,1
1422s,1
1426s,1
1428s,2
1429s,1
1430s,1
1431s,1
1434s,1
1435s,2
1436s,1
1437s,1
1438s,2
1439s,2
1441s,1
1446s,1
1447s,3
1455s,1
1458s,1
1461s,3
1462s,2
1463s,1
1465s,2
1466s,2
1467s,1
1470s,2
1472s,3
1473s,3
1474s,1
1475s,1
1476s,1
1477s,3
1478s,1
1479s,1
1482s,1
1483s,2
1485s,1
1487s,1
1488s,3
1489s,1
1491s,1
1492s,3
1493s,1
1495s,1
1497s,1
1498s,2
1499s,1
1500s,3
1501s,1
1502s,2
1503s,3
1504s,1
1505s,1
1506s,1
1509s,1
1514s,2
1515s,2
1516s,2
1517s,2
1519s,1
1520s,2
1521s,1
1524s,2
1525s,1
1526s,3
1530s,2
1532s,2
1533s,2
1534s,5
1535s,1
1536s,1
1538s,1
1539s,1
1540s,1
1541s,1
1542s,2
1543s,2
1545s,2
1546s,1
1547s,1
1548s,2
1550s,4
1551s,4
1552s,1
1553s,1
1554s,2
1555s,2
1558s,3
1559s,1
1560s,6
1561s,3
1562s,1
1563s,3
1564s,1
1565s,2
1566s,1
1567s,2
1568s,3
1569s,1
1570s,6
1572s,2
1573s,10
1574s,2
1575s,5
1576s,3
1577s,2
1578s,4
1579s,3
1580s,1
1581s,1
1582s,11
1583s,1
1584s,7
1585s,5
1586s,3
1587s,3
1588s,2
1589s,3
1590s,7
1591s,4
1592s,4
1593s,2
1594s,3
1595s,2
1596s,11
1597s,6
1598s,4
1599s,7
1600s,7
1601.0000000000002s,2
1602s,8
1603s,8
1604s,6
1605.9999999999998s,1
1605s,3
1607.9999999999998s,4
1607s,7
1609s,7
1610.0000000000002s,3
1611s,4
1612s,1
1613s,4
1614.9999999999998s,15
1614s,3
1616s,6
1617.0000000000002s,2
1618s,2
1619.0000000000002s,1
1620s,4
1621s,3
1622s,3
1623.9999999999998s,24
1623s,3
1625s,12
1626.0000000000002s,7
1627s,1
1628s,7
1629s,3
1630.9999999999998s,1
1630s,6
1632.9999999999998s,2
1632s,8
1634s,5
1635.0000000000002s,8
1636s,4
1637s,1
1638s,8
1639.9999999999998s,3
1639s,5
1641s,3
1642.0000000000002s,6
1643s,4
1644.0000000000002s,3
1645s,8
1646s,1
1647s,1
1648.9999999999998s,6
1648s,4
1650s,11
1651.0000000000002s,3
1652s,6
1653s,4
1654s,3
1655.9999999999998s,4
1655s,8
1657.9999999999998s,7
1657s,10
1659s,10
1660.0000000000002s,3
1661s,10
1662s,10
1663s,13
1664.9999999999998s,5
1664s,4
1666s,7
1667.0000000000002s,1
1668s,3
1669.0000000000002s,6
1670s,4
1672s,4
1673.9999999999998s,5
1673s,17
1675s,16
1676.0000000000002s,3
1677s,3
1678s,2
1679s,4
1680.9999999999998s,8
1680s,6
1682.9999999999998s,4
1682s,2
1684s,4
1685.0000000000002s,4
1686s,2
1687s,3
1688s,27
1689.9999999999998s,14
1689s,19
1691s,9
1692.0000000000002s,5
1693s,2
1694.0000000000002s,4
1695s,10
1696s,3
1697s,5
1698.9999999999998s,4
1698s,6
705s,1
717s,1
718s,1
771s,1
802.99999999999989s,1
861.99999999999989s,1
864s,1
885s,1
886s,1
969.99999999999989s,1